time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,place,type,horizontalError,depthError,magError,magNst,tsunami
2015-01-01T00:00:00.000Z,3.6586,134.7037,15.71,4.78,mww,76.0,55.8,2.463,0.24,ci,us700000000,off the coast of Japan,earthquake,2.05,2.79,0.086,45,0
2015-01-01T10:57:26.530Z,-9.8327,-94.2316,12.49,6.31,mb,92.0,96.0,1.71,,us,us700000001,near the coast of Chile,earthquake,5.03,3.25,0.143,55,0
2015-01-01T21:54:53.061Z,32.7159,26.5746,15.22,5.29,mww,,135.5,0.39,0.8,ci,us700000002,Iran,earthquake,2.62,8.52,0.072,51,0
2015-01-02T08:52:19.592Z,40.0083,-6.7204,11.42,5.05,mb,75.0,17.1,0.055,0.41,us,us700000003,Greece,earthquake,1.07,1.13,0.099,45,0
2015-01-02T19:49:46.123Z,46.2714,60.7881,333.49,4.6,md,87.0,133.0,0.482,0.76,us,us700000004,central Italy,earthquake,6.63,2.75,0.199,52,0
2015-01-03T06:47:12.654Z,-33.3566,162.0366,41.5,4.6,mww,67.0,117.1,1.486,1.24,nc,us700000005,100 km ESE of Kamchatka,earthquake,1.99,13.82,0.089,40,0
2015-01-03T17:44:39.184Z,29.0522,-28.0862,0.38,4.54,mb,71.0,39.1,0.023,0.65,ak,us700000006,various,earthquake,6.9,8.12,0.103,42,0
2015-01-04T04:42:05.715Z,25.9496,149.369,4.92,5.71,ml,95.0,55.6,0.118,0.8,ci,us700000007,near Vanuatu,earthquake,5.09,1.58,0.075,57,0
2015-01-04T15:39:32.246Z,17.5593,-71.8058,39.68,5.05,mww,88.0,53.5,0.79,0.67,us,us700000008,Papua New Guinea region,earthquake,2.57,2.75,0.041,52,0
2015-01-05T02:36:58.777Z,28.3867,100.8728,2.57,5.24,mb,91.0,41.0,0.29,0.68,nc,us700000009,Nepal region,earthquake,4.15,1.07,0.383,54,0
2015-01-05T13:34:25.308Z,25.6896,156.6964,16.29,4.51,md,77.0,99.4,1.499,0.57,us,us70000000a,south of Fiji,earthquake,15.47,6.23,0.022,46,0
2015-01-06T00:31:51.838Z,32.0687,91.3741,111.47,6.6,ml,98.0,147.6,0.288,1.22,us,us70000000b,northern India,earthquake,2.1,1.44,0.033,58,0
2015-01-06T11:29:18.369Z,33.3466,75.3062,142.96,5.57,ml,77.0,33.3,7.581,0.01,ci,us70000000c,Tibet region,earthquake,2.8,,0.145,46,0
2015-01-06T22:26:44.900Z,38.6706,22.1414,30.58,4.64,mww,65.0,42.5,0.859,0.72,us,us70000000d,Iran,earthquake,1.48,10.33,0.155,39,0
2015-01-07T09:24:11.431Z,22.2403,144.7506,1.58,4.62,mb,81.0,50.7,0.241,0.54,us,us70000000e,near Vanuatu,earthquake,7.15,1.59,0.037,48,0
